web_scraper_order,web_scraper_start_url,hotel_name_raw,price_raw,address_raw,rating_raw,num_reviews_raw,stars_raw,distance_raw,description_raw
"1762769008-49","https://www.booking.com/searchresults.de.html?ss=Z%C3%BCrich%2C+Schweiz&efdco=1&label=en-ch-booking-desktop-IIkch_2IMqkPEj8sZZAsBwS652828998694%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&aid=2311236&lang=de&sb=1&src_elem=sb&src=index&dest_id=-2554935&dest_type=city&checkin=2026-01-05&checkout=2026-01-07&group_adults=2&no_rooms=1&group_children=0","Hotel Spirgarten","CHF 274","Altstetten, Zürich","7,9","1.466 Bewertungen","","Zentrum: 4,6 km","Standard Zimmer mit Queensize-Bett"
"1762769008-50","https://www.booking.com/searchresults.de.html?ss=Z%C3%BCrich%2C+Schweiz&efdco=1&label=en-ch-booking-desktop-IIkch_2IMqkPEj8sZZAsBwS652828998694%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&aid=2311236&lang=de&sb=1&src_elem=sb&src=index&dest_id=-2554935&dest_type=city&checkin=2026-01-05&checkout=2026-01-07&group_adults=2&no_rooms=1&group_children=0","VISIONAPARTMENTS Albertstrasse - contactless check-in","CHF 183","Zürich","7,4","869 Bewertungen","","Zentrum: 2 km","Standard Studio"
"1762769008-51","https://www.booking.com/searchresults.de.html?ss=Z%C3%BCrich%2C+Schweiz&efdco=1&label=en-ch-booking-desktop-IIkch_2IMqkPEj8sZZAsBwS652828998694%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&aid=2311236&lang=de&sb=1&src_elem=sb&src=index&dest_id=-2554935&dest_type=city&checkin=2026-01-05&checkout=2026-01-07&group_adults=2&no_rooms=1&group_children=0","Locke am Platz Zurich","CHF 401","Enge, Zürich","8,6","1.852 Bewertungen","","Zentrum: 1,2 km","Zimmer Locke mit Balkon"
"1762769008-52","https://www.booking.com/searchresults.de.html?ss=Z%C3%BCrich%2C+Schweiz&efdco=1&label=en-ch-booking-desktop-IIkch_2IMqkPEj8sZZAsBwS652828998694%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&aid=2311236&lang=de&sb=1&src_elem=sb&src=index&dest_id=-2554935&dest_type=city&checkin=2026-01-05&checkout=2026-01-07&group_adults=2&no_rooms=1&group_children=0","Boutique Hotel Josef","CHF 367","Zürich","8,1","3.130 Bewertungen","","Zentrum: 1,2 km","Standard Doppelzimmer"
"1762769008-53","https://www.booking.com/searchresults.de.html?ss=Z%C3%BCrich%2C+Schweiz&efdco=1&label=en-ch-booking-desktop-IIkch_2IMqkPEj8sZZAsBwS652828998694%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&aid=2311236&lang=de&sb=1&src_elem=sb&src=index&dest_id=-2554935&dest_type=city&checkin=2026-01-05&checkout=2026-01-07&group_adults=2&no_rooms=1&group_children=0","Swiss Star Oerlikon Lodge - Self Check-In","CHF 167","Oerlikon, Zürich","7,3","1.082 Bewertungen","","Zentrum: 4,7 km","Studio"
"1762769008-54","https://www.booking.com/searchresults.de.html?ss=Z%C3%BCrich%2C+Schweiz&efdco=1&label=en-ch-booking-desktop-IIkch_2IMqkPEj8sZZAsBwS652828998694%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&aid=2311236&lang=de&sb=1&src_elem=sb&src=index&dest_id=-2554935&dest_type=city&checkin=2026-01-05&checkout=2026-01-07&group_adults=2&no_rooms=1&group_children=0","INSIDE Five","CHF 164","Zürich","7,1","2.014 Bewertungen","","Zentrum: 1,8 km","Doppelzimmer"
"1762769008-55","https://www.booking.com/searchresults.de.html?ss=Z%C3%BCrich%2C+Schweiz&efdco=1&label=en-ch-booking-desktop-IIkch_2IMqkPEj8sZZAsBwS652828998694%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&aid=2311236&lang=de&sb=1&src_elem=sb&src=index&dest_id=-2554935&dest_type=city&checkin=2026-01-05&checkout=2026-01-07&group_adults=2&no_rooms=1&group_children=0","Sunny studio in the city center - Sun 2","CHF 290","Unterstrass, Zürich","9,3","7 Bewertungen","","Zentrum: 1,2 km","Studio-Apartment mit Balkon"
"1762769008-56","https://www.booking.com/searchresults.de.html?ss=Z%C3%BCrich%2C+Schweiz&efdco=1&label=en-ch-booking-desktop-IIkch_2IMqkPEj8sZZAsBwS652828998694%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&aid=2311236&lang=de&sb=1&src_elem=sb&src=index&dest_id=-2554935&dest_type=city&checkin=2026-01-05&checkout=2026-01-07&group_adults=2&no_rooms=1&group_children=0","THE FLAG Zürich","CHF 340","Altstetten, Zürich","8,5","3.939 Bewertungen","","Zentrum: 4,1 km","Business Doppelzimmer (140 cm breites Bett)"
"1762769008-57","https://www.booking.com/searchresults.de.html?ss=Z%C3%BCrich%2C+Schweiz&efdco=1&label=en-ch-booking-desktop-IIkch_2IMqkPEj8sZZAsBwS652828998694%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&aid=2311236&lang=de&sb=1&src_elem=sb&src=index&dest_id=-2554935&dest_type=city&checkin=2026-01-05&checkout=2026-01-07&group_adults=2&no_rooms=1&group_children=0","Swiss Star Aussersihl - Self Check-In","CHF 177","Aussersihl, Zürich","6,7","1.242 Bewertungen","","Zentrum: 1 km","Apartment (2 Personen)"
"1762769008-58","https://www.booking.com/searchresults.de.html?ss=Z%C3%BCrich%2C+Schweiz&efdco=1&label=en-ch-booking-desktop-IIkch_2IMqkPEj8sZZAsBwS652828998694%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&aid=2311236&lang=de&sb=1&src_elem=sb&src=index&dest_id=-2554935&dest_type=city&checkin=2026-01-05&checkout=2026-01-07&group_adults=2&no_rooms=1&group_children=0","MEININGER Hotel Zürich Greencity","CHF 197","Wollishofen, Zürich","8,1","8.075 Bewertungen","","Zentrum: 3,8 km","Zweibettzimmer"
